Year,Month,Month Revenue,Month Performance,Total Amount
2010,1,-999965.8043699265,0.0,-999965.8043699265
2010,2,102817.70944404602,10.282122548063628,-897148.0949258804
2010,3,157109.53261756897,17.512106808915295,-740038.5623083115
2010,4,-98418.14494991302,-13.299056287408778,-838456.7072582245
2010,5,46912.371457099915,5.595085715338196,-791544.3358011246
2010,6,118878.87012004852,15.018599052917336,-672665.465681076
2010,7,37898.02261734009,5.634007474869876,-634767.443063736
2010,8,-76739.21710395813,-12.089343576534512,-711506.6601676941
2010,9,23529.8764667511,3.307049362152896,-687976.783700943
2010,10,-30362.087226867676,-4.413242996883713,-718338.8709278107
2010,11,-110936.05046844482,-15.443414655420105,-829274.9213962555
2010,12,91265.3867263794,11.005443957320605,-738009.5346698761
2011,1,-138305.37542533875,-18.740323658176724,-876314.9100952148
2011,2,24672.48300933838,2.815481366927515,-851642.4270858765
2011,3,4274.990875244141,0.5019701625096546,-847367.4362106323
2011,4,24646.990001678467,2.908654374529434,-822720.4462089539
2011,5,29094.159523010254,3.536336024839833,-793626.2866859436
2011,6,-12692.255825042725,-1.5992736175667206,-806318.5425109863
2011,7,28331.631427764893,3.51370208348878,-777986.9110832214
2011,8,25205.5003490448,3.2398360422221244,-752781.4107341766
2011,9,54816.54209136963,7.281867127657664,-697964.868642807
2011,10,-19691.24209022522,-2.821236852295281,-717656.1107330322
2011,11,14997.180418014526,2.089744683243347,-702658.9303150177
2011,12,39407.5699672699,5.608349693869628,-663251.3603477478
2012,1,4175.504257202148,0.629550801827666,-659075.8560905457
2012,2,-31313.45911026001,-4.751116100049958,-690389.3152008057
2012,3,-16070.394304275513,-2.3277292899009163,-706459.7095050812
2012,4,134308.6592502594,19.011510131887203,-572151.0502548218
2012,5,59450.77452087402,10.39074812401308,-512700.27573394775
2012,6,75675.38536453247,14.760160847622053,-437024.8903694153
2012,7,-34624.743163108826,-7.922830924765104,-471649.6335325241
2012,8,-42040.847529411316,-8.913575786020886,-513690.4810619354
2012,9,15246.673237800598,2.9680661409729945,-498443.8078241348
2012,10,5546.277716636658,1.1127187517581805,-492897.53010749817
2012,11,25819.26786994934,5.238262781377359,-467078.2622375488
2012,12,9898.142022132874,2.119161353113631,-457180.12021541595
2013,1,18812.78183555603,4.114960603862597,-438367.3383798599
2013,2,-95809.79686355591,-21.85605278387176,-534177.1352434158
2013,3,23397.246415138245,4.380053894384023,-510779.8888282776
2013,4,-2771.7563400268555,-0.5426518155178796,-513551.64516830444
2013,5,-76286.13844299316,-14.85461864658075,-589837.7836112976
2013,6,580.9912405014038,0.09850017354674524,-589256.7923707962
2013,7,220956.11153888702,37.49742292318762,-368300.6808319092
2013,8,167346.8605709076,45.4375648160379,-200953.8202610016
2013,9,-284776.8832168579,-141.71259986348394,-485730.7034778595
2013,10,47850.05407142639,9.851148739171165,-437880.6494064331
2013,11,8501.018911361694,1.9414009097879086,-429379.6304950714
2013,12,10302.100171089172,2.3992987648740884,-419077.53032398224
2014,1,-15754.810792922974,-3.7594024143320635,-434832.3411169052
2014,2,-43571.948477745056,-10.02040197052194,-478404.28959465027
2014,3,729.3787536621094,0.1524607470138089,-477674.91084098816
2014,4,15599.711668014526,3.2657590578809925,-462075.19917297363
2014,5,14024.581217765808,3.0351296158865764,-448050.6179552078
2014,6,22531.342092514038,5.028749250551535,-425519.2758626938
2014,7,11457.576847076416,2.6926105342343027,-414061.69901561737
2014,8,9864.760007858276,2.382437214383889,-404196.9390077591
2014,9,-9035.39969921112,-2.2353953796363792,-413232.3387069702
2014,10,9970.312381744385,2.412761889096607,-403262.02632522583
2014,11,19336.158296585083,4.79493655100337,-383925.86802864075
2014,12,74244.39384651184,19.338210844644944,-309681.4741821289
2015,1,67493.31929016113,21.79443231740339,-242188.15489196777
2015,2,-66262.65979194641,-27.359991995274925,-308450.8146839142
2015,3,157013.55856513977,50.903920849111664,-151437.2561187744
2015,4,-24499.44514274597,-16.177951034407744,-175936.7012615204
2015,5,45056.086473464966,25.609259552099665,-130880.61478805542
2015,6,110372.59871673584,84.33074592098325,-20508.016071319587
2015,7,13002.572658538826,63.40239159809755,-7505.443412780762
2015,8,-18313.563690185518,-244.0037541153129,-25819.00710296628
2015,9,14116.904043197632,54.67640171792577,-11702.103059768648
2015,10,-68728.60538482666,-587.3184079288517,-80430.70844459531
2015,11,21029.856519699097,26.146551393595534,-59400.85192489621
2015,12,-21118.912643432617,-35.553215078690165,-80519.76456832883
2016,1,-55008.55824184418,-68.3168393955798,-135528.322810173
2016,2,10258.06287765503,7.568944014767251,-125270.25993251798
2016,3,-56957.65786743164,-45.467821251519915,-182227.91779994962
2016,4,-25669.031677246094,-14.086223443229834,-207896.9494771957
2016,5,9154.89026260376,4.403571233549034,-198742.05921459195
2016,6,-62646.601791381865,-31.521562189178653,-261388.66100597382
2016,7,67899.0604133606,25.976283803607238,-193489.60059261322
2016,8,-20747.53172302246,-10.722814900375855,-214237.13231563568
2016,9,27642.695222854614,12.902849718007156,-186594.43709278107
2016,10,27083.313302993774,14.514534154910006,-159511.1237897873
2016,11,234072.26542472842,146.74353729286113,74561.14163494113
2016,12,122117.76043319702,163.7820421676185,196678.90206813815
2017,1,-196944.97178840637,-100.13528127189568,-266.0697202682204
2017,2,-111709.65963554382,-41985.10808480243,-111975.72935581204
2017,3,39576.88169288635,35.34416066818156,-72398.84766292569
2017,4,-35429.06691741943,-48.93595417757194,-107827.91458034512
2017,5,138.87240600585938,0.12879077421309326,-107689.04217433927
2017,6,7252.7182540893555,6.734871169480577,-100436.32392024991
2017,7,9747.122640609712,9.704778371169063,-90689.2012796402
2017,8,-3841.3010787963576,-4.235676381085002,-94530.50235843656
2017,9,-46785.2253112793,-49.49220002437008,-141315.72766971585
2017,10,-49751.64971160889,-35.20602450414352,-191067.37738132474
2017,11,4779.46623992917,2.5014559290205254,-186287.91114139557
2017,12,17143.415716171265,9.202645309152203,-169144.4954252243
2018,1,1005271.8452358246,594.327260079378,836127.3498106003
2018,2,-966695.2390632629,-115.61578978157321,-130567.88925266262
2018,3,28723.915079116836,21.9992183710139,-101843.97417354578
2018,4,35272.93660926819,34.634289260120426,-66571.03756427759
2018,5,43630.92077827452,65.54039470414853,-22940.11678600307
2018,6,-77565.26531410216,-338.12062090908216,-100505.38210010523
2018,7,-11450.102031707691,-11.39252624332414,-111955.48413181292
2018,8,10079.074195861802,9.002751650821333,-101876.40993595112
2018,9,-9674.382209777817,-9.496194669462758,-111550.79214572893
2018,10,252911.57549095154,226.723244744466,141360.7833452226
2018,11,90008.36528015137,63.672797469110286,231369.14862537396
2018,12,-235003.8520011902,-101.57095420777185,-3634.703375816229
2019,1,-5556.150375366209,-152.86392865878608,-9190.853751182438
2019,2,-12260.320980072023,-133.39697608064634,-21451.17473125446
2019,3,-35077.859813690186,-163.52419041453047,-56529.03454494465
2019,4,-69316.69913864136,-122.62140985890993,-125845.733683586
2019,5,37444.17810058594,29.754030593307085,-88401.55558300007
2019,6,27920.886405944824,31.58415733955038,-60480.66917705524
2019,7,-45321.47673225403,-74.93547500206527,-105802.14590930927
2019,8,57537.74111747742,54.38239519905126,-48264.404791831854
2019,9,-30890.841995239258,-64.00336257843409,-79155.24678707111
2019,10,372.0653324127197,0.47004506651792954,-78783.18145465839
2019,11,-2877.6203689575195,-3.652582081384539,-81660.80182361591
2019,12,15680.422849655151,19.20189674787206,-65980.37897396076
2020,1,28517.725288391106,43.22152393160042,-37462.653685569654
2020,2,60425.490871429436,161.29527656687307,22962.837185859782
2020,3,934075.4947929382,4067.770403250213,957038.331978798
2020,4,-842763.9374542236,-88.05958019588435,114274.3945245744
2020,5,7352.041549682617,6.433673597895617,121626.43607425701
2020,6,-35260.96069145203,-28.991197826370602,86365.47538280499
2020,7,43632.807109832764,50.52112191409286,129998.28249263775
2020,8,11897.07839012146,9.151719670446594,141895.3608827592
2020,9,9631.038829803467,6.787423330746588,151526.39971256268
2020,10,53936.13113975525,35.59520403181832,205462.53085231793
2020,11,46349.78248786926,22.558751853974044,251812.3133401872
2020,12,-25727.28575515747,-10.216849769534923,226085.02758502972
2021,1,220388.95289039612,97.48056085116413,446473.98047542584
2021,2,87417.38336753845,19.57950232048292,533891.3638429643
2021,3,70350.15999984741,13.176867948090615,604241.5238428117
2021,4,-35789.742935180664,-5.923085640915182,568451.780907631
2021,5,69582.3067893982,12.240670031554492,638034.0876970292
2021,6,-146475.9299812317,-22.957383125082472,491558.15771579754
2021,7,-206645.34547805786,-42.038839603091944,284912.8122377397
2021,8,20789.851249694824,7.296916936240535,305702.6634874345
2021,9,47626.158767700195,15.57924233449075,353328.8222551347
2021,10,160608.3326072693,45.455768816758415,513937.154862404
2021,11,-210264.23711395264,-40.912441360704214,303672.91774845135
2021,12,30858.067359924316,10.161613221461426,334530.98510837567
2022,1,10066.062088012695,3.0090073972525038,344597.04719638836
2022,2,123529.24964523315,35.84744867962637,468126.2968416215
2022,3,49854.33092880249,10.649760815652153,517980.627770424
2022,4,-26744.832363128662,-5.163288148100846,491235.79540729534
2022,5,126671.88570404053,25.786371206726464,617907.6811113359
2022,6,-36402.38747406006,-5.891234012270031,581505.2936372758
2022,7,-61122.03007507324,-10.511001489386128,520383.26356220257
2022,8,-42983.59826660156,-8.25998860385402,477399.665295601
2022,9,61246.75616455078,12.829241538455502,538646.4214601518
2022,10,119688.60346221924,22.22025408388861,658335.024922371
2022,11,-37273.963439941406,-5.6618533161495765,621061.0614824296
2022,12,-2640.044364929199,-0.4250861193306173,618421.0171175004
2023,1,66403.23603439331,10.73754516686755,684824.2531518937
2023,2,16657.18804550171,2.4323303342189244,701481.4411973954
2023,3,115045.05767440796,16.400299554330548,816526.4988718034
2023,4,-129011.49105262756,-15.800037259156078,687515.0078191758
2023,5,-20516.214248657227,-2.9841114761604186,666998.7935705186
2023,6,-85238.58192443848,-12.779420704518351,581760.2116460801
2023,7,-97675.69595336914,-16.789683102767977,484084.515692711
2023,8,71306.59006500244,14.73019436760227,555391.1057577134
2023,9,83778.78953552246,15.084647317357389,639169.8952932359
2023,10,67514.41678619385,10.562828018553635,706684.3120794297
2023,11,-23445.40078353882,-3.3176625521161434,683238.9112958909
